lowest_freight_state,lowest_avg_freight,highest_freight_state,highest_avg_freight
SP,17.37,RR,48.59
MG,23.46,PB,48.35
PR,23.58,RO,46.22
DF,23.82,AC,45.52
RJ,23.95,PI,43.04
