order_id,time_to_deliver_days,diff_estimated_delivery_days
e3447938-231f-b6ba-2fee-0231b51eca59,2,-2
e346cd92-9937-1b18-c0b2-8e8e29a5e376,6,-14
a5474c00-71dd-5d10-74e1-2d417078bbd0,4,1
bb7c5cf4-dff9-994d-aeab-7c8ee9d287aa,8,-17
66d03fb3-c4b0-f80b-5db0-4ef9c260336d,10,-19
a6cd683d-4bd3-b9b1-f0aa-37b27f8116d3,13,-28
bfe42c22-ecbf-90bc-9f35-cf591270b6a7,13,-17
e1da8361-c76c-ab67-aa35-88a1fbf1af54,11,-13
af5b0604-e113-e152-6593-d505a26ef39d,3,-16
9d531c56-5e28-c3e0-d756-192f84d8731f,56,32
4da3bd76-1ca7-3d69-2ae0-f5c252495546,1,-17
80d81746-7dc3-d0a4-bb5a-b8986c962b1f,6,-8
c75acba6-15d2-db29-3453-27974641467d,7,-28
210e6046-5099-814a-1d2c-7635e4065153,13,-7
8fc207e9-4fa9-1a76-49c5-a5dab690272a,55,32
4b3a6059-42f2-9d49-0cb7-4bd6ace6b9f0,1,-17
1c35ac66-0d7e-f669-1b25-d20df3d6eccb,2,-11
01a75ac3-dd00-0b76-28a6-84be97c29234,15,-14
0c6b011f-8a4f-8701-0c23-995f5807d152,8,-16
ee0c5c64-9e17-808b-c4a3-63d3a80ebf85,21,-1
f2fa3795-760c-35b8-c05f-a8e2f09d5143,7,-27
3923e3ad-e703-4898-5bd2-ca389905cf19,12,-10
e37797ae-dc7c-d4ef-8227-8fbc169eecaf,6,-9
35660aec-0cc4-2b62-57e2-4281ee0e6255,28,-15
b0187582-1b8d-cb6a-bc61-776f0f971bce,7,-14
5164933e-fe0c-d14f-3142-4b9badf81f19,2,-17
06a6627d-9cc9-1a04-e9d1-46bf65fee0a2,5,-14
5447160f-1562-1601-fa9b-a2b94f4906b3,7,-16
01855f88-0aae-9a98-4c7c-33b26fcf2e02,5,-7
65312c6e-4ce0-3c0f-b633-a4ac541949d8,11,-11
741fd1b8-0f01-5f17-0a7f-458cf86769b8,9,-24
b16cec67-cb3f-5a4b-b31a-be8988b43d19,3,-22
e6190dea-2356-6244-9d16-0357e46eaec8,6,-22
8eeda294-fab8-a5ed-7025-9afb59a10ff8,8,-22
89165e6d-4c28-047d-a0ad-f13ac8b3e1b3,8,-4
f376081d-7c5f-1767-fbc7-fae2d19ca32e,3,-17
4b87488f-b626-9f83-2150-8923b95da4d6,7,-20
e9ce52cd-563d-0124-dced-659e69eab10a,7,-11
9344ccd0-1ff5-fa7e-c2ae-f0ee7e1c49c3,8,-11
f4471dae-8c48-2f51-aa18-26cd9f5d4433,6,-8
aeb4c9d0-5ab1-1d7c-6c9c-a24f8c43bd70,8,-20
33a3edb8-4b9d-f4cb-4954-6859b990ac6d,29,6
9885fff9-1f7c-8075-25f8-320e5292a3db,14,-7
e7a65190-baa4-e6fd-1922-46157c0b81fb,16,-17
62a12e4d-2a74-2b24-91d7-c00d2d79bf52,11,-19
90349f26-4a3d-6a25-25a3-4598d09dda6b,4,-6
95cf9f23-9f72-4799-131f-7ca949209bd9,5,-13
04a59fe4-6fc5-aa34-1da5-378c195ed53c,15,-8
86b37610-c0e8-6e94-afe3-d5ba4b73fa14,18,-15
5c2d1d55-c31d-b1cb-e069-dc9b6454b897,9,-9
1d067305-b599-c1e0-dceb-3864056ea527,23,0
abc5ec9e-caec-740b-498a-37f19c29a8c0,12,-24
c3cb4c7c-4b96-3ab0-8b07-a5dca5baf05d,8,-16
af66c46c-49bd-b3bf-2f86-2efb1eb67d81,9,-11
14e6e050-a579-1254-3937-e93051cc7b2c,4,-29
cefa8ee1-5401-39ac-77fa-0c1b4ff1f04b,4,-19
265f4e28-ef8c-f69f-8445-e2951bbe7343,14,-22
34276839-abbc-2d59-6eb3-6540d36c624c,16,-20
556bbf53-c2c2-2fbb-9ef3-1a414dd444a6,14,-18
b2bd1f09-c1b8-a4a3-6940-f6f6e49d5dec,18,-15
e69e2290-db6b-2d3b-7593-a40112e1a82a,4,-29
c8627adf-430c-aff8-3161-acbeb344d8f5,5,-7
1370fae9-b19e-e5e0-1a2d-609eb18b7c8a,21,-8
a7cd6af6-e051-9313-887b-3c3a120f20ca,7,-4
663830a4-7753-4735-bbde-c9de01113fa2,8,-21
b2f37634-0810-3bc7-173b-b36ed02dbeea,19,-28
0dad6bec-a7ed-0e35-2668-498c29089900,11,-14
93ec3e2c-9a4b-eee3-8c28-973d307093e1,8,-5
5561adcb-0fd4-6da4-cad3-048fa4e7fc00,2,-14
6245ae0a-bd9d-e1ae-647b-5da78c0ea69b,5,-11
